label,scenario,pass_rate_scenario,agent_variable_cost_per_case_usd,fallback_cost_per_case_usd,total_cost_per_case_ex_fixed_usd,monthly_volume,monthly_cost_ex_fixed_usd,fixed_monthly_usd,all_in_monthly_cost_usd,failure_cost_usd,break_even_pass_rate_to_match_v1,formula
V1 · GPT-4o mini,P-10pp,0.30000000000000004,0.0008702550000000004,5.319999999999999,5.320870254999999,8000,42566.96203999999,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V1 · GPT-4o mini,Observed P,0.4,0.0008702550000000004,4.56,4.560870254999999,8000,36486.96203999999,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V1 · GPT-4o mini,P+10pp,0.5,0.0008702550000000004,3.8,3.800870255,8000,30406.96204,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · GPT-4o mini,P-10pp,0.31666666666666665,0.0009271275,5.193333333333333,5.194260460833333,8000,41554.083686666665,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000074832236843,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · GPT-4o mini,Observed P,0.4166666666666667,0.0009271275,4.433333333333333,4.4342604608333325,8000,35474.08368666666,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000074832236843,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · GPT-4o mini,P+10pp,0.5166666666666667,0.0009271275,3.673333333333333,3.6742604608333327,8000,29394.08368666666,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000074832236843,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Gemini 2.5 Flash-Lite,P-10pp,0.19999999999999998,0.0007307795000000001,6.08,6.0807307795,8000,48645.846236,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.39998164796052627,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Gemini 2.5 Flash-Lite,Observed P,0.3,0.0007307795000000001,5.319999999999999,5.320730779499999,8000,42565.84623599999,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.39998164796052627,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Gemini 2.5 Flash-Lite,P+10pp,0.4,0.0007307795000000001,4.56,4.560730779499999,8000,36485.84623599999,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.39998164796052627,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Mistral Small 3.2 24B,P-10pp,0.33333333333333337,0.0012293215666666667,5.066666666666666,5.067895988233333,8000,40543.16790586667,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40004724560087734,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Mistral Small 3.2 24B,Observed P,0.43333333333333335,0.0012293215666666667,4.306666666666667,4.307895988233334,8000,34463.16790586667,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40004724560087734,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Mistral Small 3.2 24B,P+10pp,0.5333333333333333,0.0012293215666666667,3.5466666666666664,3.547895988233333,8000,28383.167905866663,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40004724560087734,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · DeepSeek V3.1,P-10pp,0.2666666666666666,0.0019570080000000005,5.573333333333333,5.575290341333333,8000,44602.32273066667,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40014299381578955,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · DeepSeek V3.1,Observed P,0.36666666666666664,0.0019570080000000005,4.813333333333333,4.815290341333332,8000,38522.32273066666,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40014299381578955,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · DeepSeek V3.1,P+10pp,0.4666666666666667,0.0019570080000000005,4.053333333333333,4.0552903413333325,8000,32442.32273066666,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.40014299381578955,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Qwen3 235B,P-10pp,0.41666666666666674,0.0009242406916666665,4.433333333333333,4.434257574025,8000,35474.060592199996,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000071033804825,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Qwen3 235B,Observed P,0.5166666666666667,0.0009242406916666665,3.673333333333333,3.6742575740249994,8000,29394.060592199996,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000071033804825,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
V2 · Qwen3 235B,P+10pp,0.6166666666666667,0.0009242406916666665,2.913333333333333,2.9142575740249996,8000,23314.060592199996,NOT_PROVIDED,NOT_CALCULABLE,7.6,0.4000071033804825,C + (1-P)*7.60; monthly ex-fixed = per-case*8000
