label,version,model,model_family,judge_model,run_id,case_id,family,trial,negative_case,expected_decision,actual_decision,code_check_pass,judgement_check_pass,overall_pass,failure_category,code_check_failures,judge_reason,agent_reason,turns,tokens_in,tokens_out,cached_tokens,agent_cost_usd,judge_cost_usd,seconds,stopped_by,tools_called,guardrails_fired,lookup_policy_observation_tokens_estimated,run_timestamp,source_json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8842-t1-3ba7083b,CLM-8842,partly_payable,1,False,approve_in_principle,request_document,False,False,False,wrong_decision,"decision 'request_document', expected 'approve_in_principle'","The decision record shows 'request_document' rather than the expected 'approve_in_principle'. While the tool trace correctly identifies all three lines and their dispositions (47120 approved, 62480 requires pre-auth, 31255 excluded under EX-14), the record lacks: (1) a finalized approval decision, (2) a pre-authorization reference number for line 62480, and (3) explicit approved_total and refused_total amounts. Only 1 of 5 criteria is evidenced.","The claim has one line approved (Laparoscopic appendicectomy), one line requires pre-authorization (Lumbar spinal fusion), and one line is excluded (Cosmetic dermabrasion - EX-14 cosmetic dermatology). Requesting pre-authorization for code 62480 on date 2026-09-02.",3,8323,352,6016,0.00100845,0.004129,10.175,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_coverage"", ""check_coverage"", ""check_coverage""]",[],102,2026-09-19T09:04:28.624625+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8850-t1-dbd0d712,CLM-8850,single_line_short_run,1,False,approve_in_principle,approve_in_principle,True,False,False,duplicate_evidence_missing_or_wrong,,"Verdict is false because the third criterion cannot be evidenced. The check_duplicate_claim tool returned null, which does not confirm the existence or non-existence of CLM-8702 with a different date of service. To meet this criterion, explicit evidence that CLM-8702 exists with the same member (M-5502), hospital (H-207), and line (99213) but a different date of service would be required.","The claim is approved in principle as the procedure is covered, and there are no exclusions or pre-authorization requirements. The total approved amount is $180.",3,8074,306,6528,0.0009051,0.003221,5.961,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_duplicate_claim"", ""check_coverage""]",[],76,2026-09-19T09:04:44.130461+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8861-t1-d08c185d,CLM-8861,preauth_present_and_valid,1,False,approve_in_principle,request_document,False,False,False,wrong_decision,"decision 'request_document', expected 'approve_in_principle'","Verdict is false. The expected decision is 'approve_in_principle' but the actual decision is 'request_document'. Criterion 1 fails: PA-5702 is not cited anywhere in the record. Criterion 3 fails: no approval has been issued, only a document request. Only criterion 2 (validity period) is met.",The claim has one line requiring pre-authorization. Missing pre-authorization reference for procedure code 27447 on date 2026-09-05.,3,8223,328,7296,0.00088305,0.003351,6.567,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_coverage"", ""check_coverage"", ""check_coverage"", ""check_coverage""]",[],76,2026-09-19T09:04:54.914290+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8874-t1-357c8ad8,CLM-8874,non_panel_hospital,1,False,approve_in_principle,approve_in_principle,True,True,True,pass,,"Both must-record criteria are evidenced in the decision record. The hospital H-330 is confirmed as non-panel via lookup_hospital observation. The approved total of $620 matches the single claim line amount and is stated in the decision reason. The decision 'approve_in_principle' aligns with coverage confirmation (code 70553 not excluded, requires_preauth false) and sufficient remaining benefit ($9200 remaining vs $620 claim).","The claim has one line for an MRI brain with contrast, which is covered under the policy. The total approved amount is $620.",3,8236,333,7296,0.000888,0.00252,6.434,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_duplicate_claim"", ""check_coverage"", ""check_coverage""]",[],102,2026-09-19T09:05:06.964341+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8888-t1-2de2508b,CLM-8888,preauth_absent,1,True,request_document,request_document,False,True,False,code_only_failure,"missing None, expected semantically 'pre-authorisation reference for line 62480, valid on 2026-09-08'","All three must-record criteria are evidenced in the decision record and tool trace. The decision correctly identifies line 62480 as requiring missing pre-authorisation valid on 2026-09-08, documents the refusal of line 31255 under EX-14, and confirms line 47120 is covered. The decision and trigger match expectations.","The line for 'Lumbar spinal fusion' requires pre-authorisation, which is missing. The line for 'Cosmetic dermabrasion' is excluded under rule 'EX-14 cosmetic dermatology'. The line for 'Laparoscopic appendicectomy' is covered.",3,8259,304,7168,0.00088365,0.003434,6.043,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_coverage"", ""check_coverage"", ""check_coverage""]",[],89,2026-09-19T09:05:16.892684+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8888-t2-a1bf96bc,CLM-8888,preauth_absent,2,True,request_document,request_document,False,True,False,code_only_failure,"missing None, expected semantically 'pre-authorisation reference for line 62480, valid on 2026-09-08'","All three must-record criteria are evidenced in the decision record and tool trace. The decision correctly identifies line 62480 as requiring missing pre-authorisation valid on 2026-09-08, documents the exclusion of line 31255 under EX-14, and confirms line 47120 as approved.","The line for 'Lumbar spinal fusion' requires pre-authorisation, which is missing. The line for 'Cosmetic dermabrasion' is excluded under rule 'EX-14 cosmetic dermatology'. The line for 'Laparoscopic appendicectomy' is approved.",3,8264,316,7552,0.0008628,0.003404,6.141,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_coverage"", ""check_coverage"", ""check_coverage""]",[],89,2026-09-19T09:05:27.599289+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8888-t3-8dfc3b9f,CLM-8888,preauth_absent,3,True,request_document,request_document,False,True,False,code_only_failure,"missing None, expected semantically 'pre-authorisation reference for line 62480, valid on 2026-09-08'","All three must-record criteria are evidenced in the decision record and tool trace. The decision correctly identifies line 62480 as requiring missing pre-authorisation valid on 2026-09-08, documents the refusal of line 31255 under EX-14, and confirms line 47120 is covered. The decision and trigger match expectations.","The line for 'Lumbar spinal fusion' requires pre-authorisation, which is missing. The line for 'Cosmetic dermabrasion' is excluded under rule 'EX-14 cosmetic dermatology'. The line for 'Laparoscopic appendicectomy' is covered.",3,8264,309,7552,0.0008586,0.003434,5.977,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_coverage"", ""check_coverage"", ""check_coverage""]",[],89,2026-09-19T09:05:38.237493+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8894-t1-20a61ce1,CLM-8894,preauth_expired,1,True,request_document,request_document,False,False,False,multiple_or_other,"missing None, expected semantically 'current pre-authorisation for line 29881, valid on 2026-09-09'","None of the three criteria are met by the evidence in the tool trace. The get_preauthorisation tool returns null, meaning no pre-authorisation record (including PA-5640) was found. The decision rationale indicates missing pre-authorisation rather than an expired one. The expected_missing field in the input also contradicts the criteria by stating the missing item is 'current pre-authorisation' (implying none exists), not an expired PA-5640.",Missing pre-authorization for procedure code 29881 on 2026-09-09.,4,10670,389,8960,0.0011619,0.003277,7.838,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_duplicate_claim"", ""check_coverage"", ""check_coverage"", ""get_preauthorisation""]",[],89,2026-09-19T09:05:48.674359+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8894-t2-784c5c12,CLM-8894,preauth_expired,2,True,request_document,request_document,False,False,False,multiple_or_other,"missing None, expected semantically 'current pre-authorisation for line 29881, valid on 2026-09-09'","None of the three criteria are met by the evidence in the tool trace. The get_preauthorisation tool returns null, meaning no pre-authorisation record (including PA-5640) was found. The decision rationale indicates missing pre-authorisation rather than an expired one. The expected_missing field in the input also contradicts the criteria by stating the missing item is 'current pre-authorisation' (implying none exists), not an expired PA-5640.",Missing pre-authorization for procedure code 29881 on 2026-09-09.,4,10670,389,10240,0.0010659,0.003277,7.489,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_duplicate_claim"", ""check_coverage"", ""check_coverage"", ""get_preauthorisation""]",[],89,2026-09-19T09:06:01.276441+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
V1 · GPT-4o mini,v1,openai/gpt-4o-mini,OpenAI GPT-4o,anthropic/claude-haiku-4.5,v1-CLM-8894-t3-8de5e6c0,CLM-8894,preauth_expired,3,True,request_document,escalate,False,False,False,wrong_decision,"decision 'escalate', expected 'request_document' | missing None, expected semantically 'current pre-authorisation for line 29881, valid on 2026-09-09'","None of the three must-record criteria are evidenced in the decision record. The record does not identify PA-5640, does not show its validity period, and does not establish that PA expiry is the reason for non-authorisation. The actual decision trigger ('outside_policy_dates') contradicts the expected missing pre-authorisation basis. The check_coverage tool call returned null, providing no coverage determination evidence.",outside_policy_dates,2,5892,280,4992,0.0006774,0.002946,5.093,final_answer,"[""get_claim"", ""lookup_policy"", ""lookup_hospital"", ""check_duplicate_claim"", ""check_coverage""]",[],89,2026-09-19T09:06:13.563839+00:00,/Users/wendys/Documents/AI/NTU/a2_evaluation_outputs/final_v1_gpt4o_mini/v1_raw_results.json
